# ============================================================
# FUSION DES PLANS (8 COLONNES) - 2026-08-24 18:47:06
# Colonnes : N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
# Nombre de fichiers fusionnes : 10
# ============================================================
N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
🟢S-51;Dimanche;2026-11-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟡S-50;Lundi;2026-11-30;CAP;VC;VC 500m x 9 @ 16.9 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;44;🟨
🟡S-50;Mardi;2026-12-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (113 min);113;🟦
🟡S-50;*;2026-12-01;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-50;Jeudi;2026-12-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-50;Dimanche;2026-12-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (113 min);113;🟦
⚪S-49;Lundi;2026-12-07;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-49;*;2026-12-07;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
⚪S-49;Mardi;2026-12-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-49;Jeudi;2026-12-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-49;Dimanche;2026-12-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-48;Lundi;2026-12-14;CAP;VC;VC 700m x 6 @ 16.3 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;42;🟨
🟡S-48;Mardi;2026-12-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-48;*;2026-12-15;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-48;Jeudi;2026-12-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-48;Dimanche;2026-12-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-47;Lundi;2026-12-21;CAP;VMA;VMA 700m x 7 @ 19.7 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;37;🟥
🟢S-47;Mardi;2026-12-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-47;*;2026-12-22;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-47;Jeudi;2026-12-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-47;Dimanche;2026-12-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-46;Lundi;2026-12-28;CAP;VC;VC 1000m x 4 @ 15.5 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;42;🟨
🟡S-46;Mardi;2026-12-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-46;*;2026-12-29;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-46;Jeudi;2026-12-31;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-46;Dimanche;2027-01-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-45;Lundi;2027-01-04;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-45;*;2027-01-04;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-45;Mardi;2027-01-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-45;Jeudi;2027-01-07;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-45;Dimanche;2027-01-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-44;Lundi;2027-01-11;CAP;VC;VC 2000m x 3 @ 14.9 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;51;🟨
🟢S-44;Mardi;2027-01-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-44;*;2027-01-12;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-44;Jeudi;2027-01-14;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-44;Dimanche;2027-01-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-43;Lundi;2027-01-18;CAP;VMA;VMA 2000m x 4 @ 18.6 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;58;🟥
🟡S-43;Mardi;2027-01-19;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-43;*;2027-01-19;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-43;Jeudi;2027-01-21;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-43;Dimanche;2027-01-24;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-42;Lundi;2027-01-25;CAP;VC;VC 2800m x 2 @ 14.6 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;60;🟨
🔴S-42;Mardi;2027-01-26;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-42;*;2027-01-26;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🔴S-42;Jeudi;2027-01-28;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-42;Dimanche;2027-01-31;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-41;Lundi;2027-02-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-41;*;2027-02-01;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-41;Mardi;2027-02-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-41;Jeudi;2027-02-04;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-41;Dimanche;2027-02-07;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-40;Lundi;2027-02-08;CAP;VC;VC 300m x 15 @ 18.0 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;39;🟨
🟢S-40;Mardi;2027-02-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-40;*;2027-02-09;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-40;Jeudi;2027-02-11;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-40;Dimanche;2027-02-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-39;Lundi;2027-02-15;CAP;VMA;VMA 300m x 17 @ 20.7 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;40;🟥
🟡S-39;Mardi;2027-02-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-39;*;2027-02-16;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-39;Jeudi;2027-02-18;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-39;Dimanche;2027-02-21;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-38;Lundi;2027-02-22;CAP;VC;VC 500m x 9 @ 17.2 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;48;🟨
🔴S-38;Mardi;2027-02-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-38;*;2027-02-23;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🔴S-38;Jeudi;2027-02-25;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-38;Dimanche;2027-02-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-37;Lundi;2027-03-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-37;*;2027-03-01;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
⚪S-37;Mardi;2027-03-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-37;Jeudi;2027-03-04;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-37;Dimanche;2027-03-07;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-36;Lundi;2027-03-08;CAP;VC;VC 700m x 6 @ 16.6 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;39;🟨
🟢S-36;Mardi;2027-03-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟢S-36;*;2027-03-09;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-36;Jeudi;2027-03-11;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-36;Dimanche;2027-03-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟡S-35;Lundi;2027-03-15;CAP;VMA;VMA 700m x 7 @ 20.0 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;40;🟥
🟡S-35;Mardi;2027-03-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-35;*;2027-03-16;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-35;Jeudi;2027-03-18;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-35;Dimanche;2027-03-21;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-34;Lundi;2027-03-22;CAP;VC;VC 1000m x 4 @ 15.7 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;46;🟨
🔴S-34;Mardi;2027-03-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-34;*;2027-03-23;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🔴S-34;Jeudi;2027-03-25;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-34;Dimanche;2027-03-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-33;Lundi;2027-03-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-33;*;2027-03-29;Renforcement;Gainage;Gainage (30 min);30;🟩
⚪S-33;Mardi;2027-03-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-33;Jeudi;2027-04-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-33;Dimanche;2027-04-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-32;Lundi;2027-04-05;CAP;VC;VC 2000m x 3 @ 15.1 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;51;🟨
🟢S-32;Mardi;2027-04-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-32;*;2027-04-06;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-32;Jeudi;2027-04-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-32;Dimanche;2027-04-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-31;Lundi;2027-04-12;CAP;VMA;VMA 2000m x 4 @ 18.9 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;58;🟥
🟡S-31;Mardi;2027-04-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-31;*;2027-04-13;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-31;Jeudi;2027-04-15;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-31;Dimanche;2027-04-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-30;Lundi;2027-04-19;CAP;VC;VC 2800m x 2 @ 14.8 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;60;🟨
🔴S-30;Mardi;2027-04-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-30;*;2027-04-20;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🔴S-30;Jeudi;2027-04-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-30;Dimanche;2027-04-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-29;Lundi;2027-04-26;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-29;*;2027-04-26;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
⚪S-29;Mardi;2027-04-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-29;Jeudi;2027-04-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-29;Dimanche;2027-05-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-28;Lundi;2027-05-03;CAP;VC;VC 300m x 15 @ 18.3 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;39;🟨
🟢S-28;Mardi;2027-05-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-28;*;2027-05-04;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-28;Jeudi;2027-05-06;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-28;Dimanche;2027-05-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-27;Lundi;2027-05-10;CAP;VMA;VMA 300m x 17 @ 21.0 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;40;🟥
🟡S-27;Mardi;2027-05-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-27;*;2027-05-11;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟡S-27;Jeudi;2027-05-13;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-27;Dimanche;2027-05-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-26;Lundi;2027-05-17;CAP;VC;VC 500m x 9 @ 17.4 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;48;🟨
🔴S-26;Mardi;2027-05-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-26;*;2027-05-18;Renforcement;Gainage;Gainage (30 min);30;🟩
🔴S-26;Jeudi;2027-05-20;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-26;Dimanche;2027-05-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-25;Lundi;2027-05-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-25;*;2027-05-24;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-25;Mardi;2027-05-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-25;Jeudi;2027-05-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-25;Dimanche;2027-05-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-24;Lundi;2027-05-31;CAP;VC;VC 700m x 6 @ 16.8 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;42;🟨
🟡S-24;Mardi;2027-06-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-24;*;2027-06-01;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟡S-24;Jeudi;2027-06-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-24;Dimanche;2027-06-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-23;Lundi;2027-06-07;CAP;VMA;VMA 700m x 7 @ 20.3 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;37;🟥
🟢S-23;Mardi;2027-06-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-23;*;2027-06-08;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-23;Jeudi;2027-06-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-23;Dimanche;2027-06-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-22;Lundi;2027-06-14;CAP;VC;VC 1000m x 4 @ 15.9 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;42;🟨
🟡S-22;Mardi;2027-06-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-22;*;2027-06-15;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-22;Jeudi;2027-06-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-22;Dimanche;2027-06-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-21;Lundi;2027-06-21;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-21;*;2027-06-21;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-21;Mardi;2027-06-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-21;Jeudi;2027-06-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-21;Dimanche;2027-06-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-20;Lundi;2027-06-28;CAP;VC;VC 2000m x 3 @ 15.3 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;56;🟨
🟡S-20;Mardi;2027-06-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-20;*;2027-06-29;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-20;Jeudi;2027-07-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-20;Dimanche;2027-07-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-19;Lundi;2027-07-05;CAP;VMA;VMA 2000m x 4 @ 19.1 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;53;🟥
🟢S-19;Mardi;2027-07-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-19;*;2027-07-06;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-19;Jeudi;2027-07-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-19;Dimanche;2027-07-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-18;Lundi;2027-07-12;CAP;VC;VC 2800m x 2 @ 15.0 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;55;🟨
🟡S-18;Mardi;2027-07-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-18;*;2027-07-13;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-18;Jeudi;2027-07-15;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-18;Dimanche;2027-07-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-17;Lundi;2027-07-19;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-17;*;2027-07-19;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-17;Mardi;2027-07-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-17;Jeudi;2027-07-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-17;Dimanche;2027-07-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-16;Lundi;2027-07-26;CAP;VC;VC 300m x 15 @ 18.6 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;42;🟨
🟡S-16;Mardi;2027-07-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-16;*;2027-07-27;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-16;Jeudi;2027-07-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-16;Dimanche;2027-08-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-15;Lundi;2027-08-02;CAP;VMA;VMA 300m x 17 @ 21.3 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;37;🟥
🟢S-15;Mardi;2027-08-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-15;*;2027-08-03;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-15;Jeudi;2027-08-05;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-15;Dimanche;2027-08-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-14;Lundi;2027-08-09;CAP;VC;VC 500m x 9 @ 17.6 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;44;🟨
🟡S-14;Mardi;2027-08-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-14;*;2027-08-10;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-14;Jeudi;2027-08-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-14;Dimanche;2027-08-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-13;Lundi;2027-08-16;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-13;*;2027-08-16;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-13;Mardi;2027-08-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-13;Jeudi;2027-08-19;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-13;Dimanche;2027-08-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-12;Lundi;2027-08-23;CAP;VC;VC 700m x 6 @ 17.0 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;42;🟨
🟡S-12;Mardi;2027-08-24;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-12;*;2027-08-24;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-12;Jeudi;2027-08-26;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-12;Dimanche;2027-08-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-11;Lundi;2027-08-30;CAP;VMA;VMA 700m x 7 @ 20.6 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;37;🟥
🟢S-11;Mardi;2027-08-31;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-11;*;2027-08-31;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-11;Jeudi;2027-09-02;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-11;Dimanche;2027-09-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-10;Lundi;2027-09-06;CAP;VC;VC 1000m x 4 @ 16.1 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;42;🟨
🟡S-10;Mardi;2027-09-07;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-10;*;2027-09-07;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟡S-10;Jeudi;2027-09-09;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-10;Dimanche;2027-09-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-09;Lundi;2027-09-13;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (48 min);48;🟩
⚪S-09;*;2027-09-13;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
⚪S-09;Mardi;2027-09-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (33 min);33;🟦
⚪S-09;Mercredi;2027-09-15;Course;Compétition intermédiaire;10km Billiers 15/09;0;⭐
⚪S-09;Jeudi;2027-09-16;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (48 min);48;🟩
⚪S-09;Dimanche;2027-09-19;CAP;Footing de récupération Z1;Footing de récupération Z1 (33 min);33;🟦
🟡S-08;Lundi;2027-09-20;CAP;VC;VC 2000m x 3 @ 15.5 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;56;🟨
🟡S-08;Mardi;2027-09-21;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
🟡S-08;*;2027-09-21;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-08;Jeudi;2027-09-23;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (103 min);103;🟩
🟡S-08;Dimanche;2027-09-26;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
🟢S-07;Lundi;2027-09-27;CAP;VMA;VMA 2000m x 4 @ 19.4 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;53;🟥
🟢S-07;Mardi;2027-09-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (63 min);63;🟦
🟢S-07;*;2027-09-28;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟢S-07;Jeudi;2027-09-30;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (90 min);90;🟩
🟢S-07;Dimanche;2027-10-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (63 min);63;🟦
🟡S-06;Lundi;2027-10-04;CAP;VC;VC 2800m x 2 @ 15.2 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;55;🟨
🟡S-06;Mardi;2027-10-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦
🟡S-06;*;2027-10-05;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-06;Jeudi;2027-10-07;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩
🟡S-06;Dimanche;2027-10-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦
⚪S-05;Lundi;2027-10-11;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (48 min);48;🟩
⚪S-05;*;2027-10-11;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
⚪S-05;Mardi;2027-10-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (33 min);33;🟦
⚪S-05;Jeudi;2027-10-14;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (48 min);48;🟩
