N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Semaine type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
33;Lundi;2027-04-05;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
33;Mardi;2027-04-06;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
33;Mercredi;2027-04-07;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
33;Jeudi;2027-04-08;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
33;Vendredi;2027-04-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
33;Samedi;2027-04-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
33;Dimanche;2027-04-11;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
32;Lundi;2027-04-12;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
32;Mardi;2027-04-13;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
32;Mercredi;2027-04-14;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
32;Jeudi;2027-04-15;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
32;Vendredi;2027-04-16;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
32;Samedi;2027-04-17;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
32;Dimanche;2027-04-18;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
31;Lundi;2027-04-19;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
31;Mardi;2027-04-20;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
31;Mercredi;2027-04-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
31;Jeudi;2027-04-22;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
31;Vendredi;2027-04-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
31;Samedi;2027-04-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
31;Dimanche;2027-04-25;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
30;Lundi;2027-04-26;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
30;Mardi;2027-04-27;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
30;Mercredi;2027-04-28;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
30;Jeudi;2027-04-29;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
30;Vendredi;2027-04-30;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
30;Samedi;2027-05-01;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
30;Dimanche;2027-05-02;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
29;Lundi;2027-05-03;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
29;Mardi;2027-05-04;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
29;Mercredi;2027-05-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
29;Jeudi;2027-05-06;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
29;Vendredi;2027-05-07;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
29;Samedi;2027-05-08;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
29;Dimanche;2027-05-09;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
28;Lundi;2027-05-10;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
28;Mardi;2027-05-11;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
28;Mercredi;2027-05-12;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
28;Jeudi;2027-05-13;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
28;Vendredi;2027-05-14;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
28;Samedi;2027-05-15;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
28;Dimanche;2027-05-16;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
27;Lundi;2027-05-17;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
27;Mardi;2027-05-18;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
27;Mercredi;2027-05-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
27;Jeudi;2027-05-20;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
27;Vendredi;2027-05-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
27;Samedi;2027-05-22;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
27;Dimanche;2027-05-23;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
26;Lundi;2027-05-24;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
26;Mardi;2027-05-25;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
26;Mercredi;2027-05-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
26;Jeudi;2027-05-27;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
26;Vendredi;2027-05-28;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
26;Samedi;2027-05-29;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
26;Dimanche;2027-05-30;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
25;Lundi;2027-05-31;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
25;Mardi;2027-06-01;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
25;Mercredi;2027-06-02;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
25;Jeudi;2027-06-03;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
25;Vendredi;2027-06-04;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
25;Samedi;2027-06-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
25;Dimanche;2027-06-06;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
24;Lundi;2027-06-07;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
24;Mardi;2027-06-08;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
24;Mercredi;2027-06-09;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
24;Jeudi;2027-06-10;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
24;Vendredi;2027-06-11;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
24;Samedi;2027-06-12;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
24;Dimanche;2027-06-13;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
23;Lundi;2027-06-14;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
23;Mardi;2027-06-15;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
23;Mercredi;2027-06-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
23;Jeudi;2027-06-17;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
23;Vendredi;2027-06-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
23;Samedi;2027-06-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
23;Dimanche;2027-06-20;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
22;Lundi;2027-06-21;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
22;Mardi;2027-06-22;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
22;Mercredi;2027-06-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
22;Jeudi;2027-06-24;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
22;Vendredi;2027-06-25;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
22;Samedi;2027-06-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
22;Dimanche;2027-06-27;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
21;Lundi;2027-06-28;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
21;Mardi;2027-06-29;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
21;Mercredi;2027-06-30;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
21;Jeudi;2027-07-01;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
21;Vendredi;2027-07-02;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
21;Samedi;2027-07-03;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
21;Dimanche;2027-07-04;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
20;Lundi;2027-07-05;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
20;Mardi;2027-07-06;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
20;Mercredi;2027-07-07;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
20;Jeudi;2027-07-08;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
20;Vendredi;2027-07-09;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
20;Samedi;2027-07-10;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
20;Dimanche;2027-07-11;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
19;Lundi;2027-07-12;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
19;Mardi;2027-07-13;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
19;Mercredi;2027-07-14;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
19;Jeudi;2027-07-15;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
19;Vendredi;2027-07-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
19;Samedi;2027-07-17;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
19;Dimanche;2027-07-18;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
18;Lundi;2027-07-19;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
18;Mardi;2027-07-20;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
18;Mercredi;2027-07-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
18;Jeudi;2027-07-22;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
18;Vendredi;2027-07-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
18;Samedi;2027-07-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
18;Dimanche;2027-07-25;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
17;Lundi;2027-07-26;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
17;Mardi;2027-07-27;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
17;Mercredi;2027-07-28;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
17;Jeudi;2027-07-29;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
17;Vendredi;2027-07-30;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
17;Samedi;2027-07-31;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
17;Dimanche;2027-08-01;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
16;Lundi;2027-08-02;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
16;Mardi;2027-08-03;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
16;Mercredi;2027-08-04;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
16;Jeudi;2027-08-05;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
16;Vendredi;2027-08-06;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
16;Samedi;2027-08-07;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
16;Dimanche;2027-08-08;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
15;Lundi;2027-08-09;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
15;Mardi;2027-08-10;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
15;Mercredi;2027-08-11;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
15;Jeudi;2027-08-12;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
15;Vendredi;2027-08-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
15;Samedi;2027-08-14;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
15;Dimanche;2027-08-15;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
14;Lundi;2027-08-16;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
14;Mardi;2027-08-17;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
14;Mercredi;2027-08-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
14;Jeudi;2027-08-19;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
14;Vendredi;2027-08-20;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
14;Samedi;2027-08-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
14;Dimanche;2027-08-22;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔴;;;;;;
13;Lundi;2027-08-23;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
13;Mardi;2027-08-24;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
13;Mercredi;2027-08-25;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
13;Jeudi;2027-08-26;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
13;Vendredi;2027-08-27;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
13;Samedi;2027-08-28;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
13;Dimanche;2027-08-29;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);1112;🟥;🔴;;;;;;
12;Lundi;2027-08-30;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
12;Mardi;2027-08-31;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
12;Mercredi;2027-09-01;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
12;Jeudi;2027-09-02;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
12;Vendredi;2027-09-03;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
12;Samedi;2027-09-04;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
12;Dimanche;2027-09-05;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);1089;🟨;🔵;;;;;;
11;Lundi;2027-09-06;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);771;🟥;🔴;;;;;;
11;Mardi;2027-09-07;CAP;VMA;VMA : 400m x 9 (effort 01:12, recup 00:35);776;🟥;🔴;;;;;;
11;Mercredi;2027-09-08;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
11;Jeudi;2027-09-09;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);918;🟥;🔴;;;;;;
11;Vendredi;2027-09-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
11;Samedi;2027-09-11;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
11;Dimanche;2027-09-12;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
10;Lundi;2027-09-13;CAP;VC;VC : 800m x 4 (effort 03:05, recup 01:37);904;🟨;🔴;;;;;;
10;Mardi;2027-09-14;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔴;;;;;;
10;Mercredi;2027-09-15;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
10;Jeudi;2027-09-16;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
10;Vendredi;2027-09-17;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
10;Samedi;2027-09-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
10;Dimanche;2027-09-19;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);726;🟨;🔴;;;;;;
9;Lundi;2027-09-20;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
9;Mardi;2027-09-21;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
9;Mercredi;2027-09-22;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
9;Jeudi;2027-09-23;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);741;🟥;🔴;;;;;;
9;Vendredi;2027-09-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
9;Samedi;2027-09-25;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
9;Dimanche;2027-09-26;CAP;VMA;VMA : 500m x 8 (effort 01:31, recup 00:44);868;🟥;🔴;;;;;;
8;Lundi;2027-09-27;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);726;🟨;🔵;;;;;;
8;Mardi;2027-09-28;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);786;🟨;🔵;;;;;;
8;Mercredi;2027-09-29;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
8;Jeudi;2027-09-30;CAP;VC;VC : 500m x 6 (effort 01:48, recup 01:00);812;🟨;🔵;;;;;;
8;Vendredi;2027-10-01;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
8;Samedi;2027-10-02;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
8;Dimanche;2027-10-03;CAP;VC;VC : 800m x 4 (effort 03:05, recup 01:37);904;🟨;🔵;;;;;;
7;Lundi;2027-10-04;CAP;VMA;VMA : 500m x 8 (effort 01:31, recup 00:44);868;🟥;🔴;;;;;;
7;Mardi;2027-10-05;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);918;🟥;🔴;;;;;;
7;Mercredi;2027-10-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
7;Jeudi;2027-10-07;CAP;VMA;VMA : 800m x 6 (effort 02:30, recup 01:10);1064;🟥;🔴;;;;;;
7;Vendredi;2027-10-08;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
7;Samedi;2027-10-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
7;Dimanche;2027-10-10;CAP;VMA;VMA : 3000m x 3 (effort 10:25, recup 04:26);2140;🟥;🔴;;;;;;
6;Lundi;2027-10-11;CAP;VC;VC : 800m x 4 (effort 03:05, recup 01:37);904;🟨;🔴;;;;;;
6;Mardi;2027-10-12;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔴;;;;;;
6;Mercredi;2027-10-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
6;Jeudi;2027-10-14;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
6;Vendredi;2027-10-15;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
6;Samedi;2027-10-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
6;Dimanche;2027-10-17;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);726;🟨;🔴;;;;;;
5;Lundi;2027-10-18;CAP;VMA;VMA : 3000m x 3 (effort 10:25, recup 04:26);2140;🟥;🔴;;;;;;
5;Mardi;2027-10-19;CAP;VMA;VMA : 200m x 18 (effort 00:33, recup 00:17);741;🟥;🔴;;;;;;
5;Mercredi;2027-10-20;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
5;Jeudi;2027-10-21;CAP;VMA;VMA : 400m x 9 (effort 01:12, recup 00:35);776;🟥;🔴;;;;;;
5;Vendredi;2027-10-22;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
5;Samedi;2027-10-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
5;Dimanche;2027-10-24;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);924;🟥;🔴;;;;;;
4;Lundi;2027-10-25;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);726;🟨;🔵;;;;;;
4;Mardi;2027-10-26;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);786;🟨;🔵;;;;;;
4;Mercredi;2027-10-27;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
4;Jeudi;2027-10-28;CAP;VC;VC : 500m x 6 (effort 01:48, recup 01:00);812;🟨;🔵;;;;;;
4;Vendredi;2027-10-29;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
4;Samedi;2027-10-30;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
4;Dimanche;2027-10-31;CAP;VC;VC : 800m x 4 (effort 03:05, recup 01:37);904;🟨;🔵;;;;;;
3;Lundi;2027-11-01;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);924;🟥;🔴;;;;;;
3;Mardi;2027-11-02;CAP;VMA;VMA : 800m x 6 (effort 02:30, recup 01:10);1064;🟥;🔴;;;;;;
3;Mercredi;2027-11-03;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
3;Jeudi;2027-11-04;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
3;Vendredi;2027-11-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
3;Samedi;2027-11-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
3;Dimanche;2027-11-07;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);771;🟥;🔴;;;;;;
2;Lundi;2027-11-08;CAP;VC;VC : 800m x 4 (effort 03:05, recup 01:37);904;🟨;🔴;;;;;;
2;Mardi;2027-11-09;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔴;;;;;;
2;Mercredi;2027-11-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
2;Jeudi;2027-11-11;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
2;Vendredi;2027-11-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
2;Samedi;2027-11-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
2;Dimanche;2027-11-14;CAP;VC;VC : 200m x 14 (effort 00:40, recup 00:24);726;🟨;🔴;;;;;;
1;Lundi;2027-11-15;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);771;🟥;🔴;;;;;;
1;Mardi;2027-11-16;CAP;VMA;VMA : 400m x 9 (effort 01:12, recup 00:35);776;🟥;🔴;;;;;;
1;Mercredi;2027-11-17;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
1;Jeudi;2027-11-18;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);918;🟥;🔴;;;;;;
1;Vendredi;2027-11-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
1;Samedi;2027-11-20;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
1;Dimanche;2027-11-21;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
